 Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 5 (5.00%):Creating network.
The layer structure is following:
[70, 35, 1]
Setting newtork parameters
Getting training data : ALL_S6_959126400_hveto_channels_signif_dt_set_6_training.pat
Setting GA training parameters
Start running GA
Gen. 0 (0.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 6 (6.00%): Max/Min/Avg Fitness(Raw) [17.37(37.04)/12.75(1.03)/14.48(14.48)]
Gen. 1 (1.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 7 (7.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 2 (2.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 8 (8.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 3 (3.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 9 (9.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 4 (4.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 10 (10.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 11 (11.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 5 (5.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 12 (12.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 13 (13.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 6 (6.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 14 (14.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 7 (7.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 15 (15.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 16 (16.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 8 (8.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 17 (17.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 9 (9.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 18 (18.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 19 (19.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 10 (10.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 20 (20.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 21 (21.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 11 (11.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 22 (22.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 23 (23.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 12 (12.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 24 (24.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 25 (25.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 26 (26.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 14 (14.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 27 (27.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 28 (28.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 29 (29.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 15 (15.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 30 (30.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 31 (31.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 32 (32.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 16 (16.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 33 (33.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 34 (34.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 17 (17.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 35 (35.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 36 (36.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 37 (37.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 18 (18.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 38 (38.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 19 (19.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 40 (40.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 21 (21.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 41 (41.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 22 (22.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
Gen. 42 (42.00%): Max/Min/Avg Fitness(Raw) [44.47(37.04)/44.47(37.04)/44.47(37.04)]
Gen. 23 (23.00%): Max/Min/Avg Fitness(Raw) [45.29(37.73)/45.29(37.73)/45.29(37.73)]
